Entry ID,Date,Year,State,Local Government Area,Cases,Deaths,CFR (%),Population,"Cases/100,000","Deaths/100,000"
NGA71-3-1-1,1 Mar,1971,Kaduna,,131,3,2.290,"57,296,983",0.2286,0.0052
NGA82-4-1-1,1 Apr,1982,Katsina,,662,51,7.704,"77,427,546",0.8550,0.0659
NGA87-9-1-1,1 Sep,1987,,,,38,,"88,048,032",,0.0432
NGA91-1-21-1,2 Jan,1991,,,588,,,"97,667,632",0.6020,
NGA91-1-21-1,2 Jan,1991,Akwa Ibom ,Uyo,,,,,,
NGA91-1-21-1,2 Jan,1991,Cross River,Calabar,,,,,,
NGA91-5-6-1,6 May,1991,,,"10,000","7,289",72.890,"97,667,632",10.2388,7.4631
NGA91-5-6-1,6 May,1991,Kaduna,,,,,,,
NGA91-5-6-1,6 May,1991,Bauchi,,,,,,,
NGA91-12-31-1,31 Dec,1991,,,"59,478","7,654",12.869,"97,667,632",60.8984,7.8368
NGA92-2-1-1,1 Feb,1992,Cross River,,,100,,"100,161,710",,0.0998
NGA96-1-1-1,1 Jan,1996,Oyo,Ibadan,"1,384",92,6.647,"110,668,794",1.2506,0.0831
NGA96-2-19-1,19 Feb,1996,,,"12,374","1,193",9.641,"110,668,794",11.1811,1.0780
NGA96-2-19-1,19 Feb,1996,Borno,,,,,,,
NGA96-2-19-1,19 Feb,1996,Kano,,,,,,,
NGA96-2-19-1,19 Feb,1996,Kebbi,,,,,,,
NGA96-2-19-1,19 Feb,1996,Oyo,,,,,,,
NGA96-2-19-1,19 Feb,1996,Niger,,,,,,,
NGA96-2-19-1,19 Feb,1996,Taraba,,,,,,,
NGA96-2-19-1,19 Feb,1996,Yobe,,,,,,,
NGA96-3-1-1,1 Mar,1996,,,"1,487",99,6.658,"110,668,794",1.3436,0.0895
NGA96-3-1-2,1 Mar,1996,,,"1,000",15,1.500,"110,668,794",0.9036,0.0136
NGA96-3-1-2,1 Mar,1996,Kano,,,,,,,
NGA96-3-1-2,1 Mar,1996,Kwara,,,,,,,
NGA96-3-1-2,1 Mar,1996,Ondo,,,,,,,
NGA96-3-1-2,1 Mar,1996,Oyo ,,,,,,,
NGA96-3-6-1,6 Mar,1996,,,"2,662",288,10.819,"110,668,794",2.4054,0.2602
NGA96-3-6-1,6 Mar,1996,Kano,,"1,871",107,5.719,"110,668,794",1.6906,0.0967
NGA96-3-6-1,6 Mar,1996,Kwara,,272,77,28.309,"110,668,794",0.2458,0.0696
NGA96-3-6-1,6 Mar,1996,Niger,,304,97,31.908,"110,668,794",0.2747,0.0876
NGA96-3-6-1,6 Mar,1996,Ondo,,,,,,,
NGA96-3-6-1,6 Mar,1996,Oyo ,,215,7,3.256,"110,668,794",0.1943,0.0063
NGA96-3-7-1,7 Mar,1996,,,"2,836",299,10.543,"110,668,794",2.5626,0.2702
NGA96-3-15-1,15 Mar,1996,,,"6,117",487,7.961,"110,668,794",5.5273,0.4401
NGA96-3-15-1,15 Mar,1996,Kano,,"4,388",150,3.418,"110,668,794",3.9650,0.1355
NGA96-3-15-1,15 Mar,1996,Kaduna,,11,3,27.273,"110,668,794",0.0099,0.0027
NGA96-3-15-1,15 Mar,1996,Kebbi,,525,122,23.238,"110,668,794",0.4744,0.1102
NGA96-3-15-1,15 Mar,1996,Kwara,,272,72,26.471,"110,668,794",0.2458,0.0651
NGA96-3-15-1,15 Mar,1996,Niger,,304,97,31.908,"110,668,794",0.2747,0.0876
NGA96-3-16-1,16 Mar,1996,Kano,,"5,600",340,6.071,"110,668,794",5.0601,0.3072
NGA99-3-24-1,24 Mar,1999,,,"1,122",89,7.932,"199,260,063",0.5631,0.0447
NGA99-3-24-1,24 Mar,1999,Kano,,,,,,,
NGA99-3-24-1,24 Mar,1999,Adamawa,,,,,,,
NGA99-3-24-1,24 Mar,1999,Edo,,,,,,,
NGA99-5-12-1,12 May,1999,Kano,,815,28,3.436,"199,260,063",0.4090,0.0141
NGA99-5-12-2,12 May,1999,Kano,Tofa ,182,19,10.440,"199,260,063",0.0913,0.0095
NGA99-5-12-3,12 May,1999,Adamawa ,,76,18,23.684,"199,260,063",0.0381,0.0090
NGA99-5-12-4,12 May,1999,Edo,,49,24,48.980,"199,260,063",0.0246,0.0120
NGA99-6-1-1,1 Jul,1999,Enugu,,119,25,21.008,"199,260,063",0.0597,0.0125
NGA00-5-1-1,1 May,2000,Kano,,"1,215",27,2.222,"122,283,850",0.9936,0.0221
NGA01-11-27-1,27 Nov,2001,,,724,52,7.182,"125,394,046",0.5774,0.0415
NGA01-11-27-1,27 Nov,2001,Akwa Ibom,,25,8,32.000,"125,394,046",0.0199,0.0064
NGA01-11-27-1,27 Nov,2001,Kwara,,124,16,12.903,"125,394,046",0.0989,0.0128
NGA01-11-27-1,27 Nov,2001,Kano,,575,28,4.870,"125,394,046",0.4586,0.0223
NGA01-11-14-1,14 Nov,2001,,,"2,170",80,3.687,"125,394,046",1.7305,0.0638
NGA01-11-14-1,14 Nov,2001,Kano,,,,,,,
NGA01-11-14-1,14 Nov,2001,Akwa Ibom,,,,,,,
NGA01-11-14-1,14 Nov,2001,Kwara,,,,,,,
NGA01-11-14-1,14 Nov,2001,Jigawa,,,,,,,
NGA01-12-3-1,3 Dec,2001,Kano,,"2,050",80,3.902,"125,394,046",1.6348,0.0638
NGA01-12-3-2,3 Dec,2001,Jigawa,,120,,0.000,"125,394,046",0.0957,
NGA02-11-21-1,21 Nov,2002,Kano,,164,12,7.317,"128,596,076",0.1275,0.0093
NGA04-11-15-1,15 Nov,2004,,,"1,316",76,5.775,"135,320,422",0.9725,0.0562
NGA04-11-15-1,15 Nov,2004,Kano,,,,,,,
NGA04-11-15-1,15 Nov,2004,Jigawa,,,,,,,
NGA04-11-16-1,16 Nov,2004,Edo,,300,50,16.667,"135,320,422",0.2217,0.0369
NGA04-12-3-1,3 Dec,2004,,,"1,616",126,7.797,"135,320,422",1.1942,0.0931
NGA04-12-3-1,3 Dec,2004,Kano,,"1,316",76,5.775,"135,320,422",0.9725,0.0562
NGA04-12-3-1,3 Dec,2004,Edo,,300,50,16.667,"135,320,422",0.2217,0.0369
NGA05-5-16-1,16 May,2005,Borno,Ngala,98,12,12.245,"138,865,016",0.0706,0.0086
NGA08-3-1-1,1 Mar,2008,Benue,Madurdi,,35,,"150,269,623",,0.0233
NGA08-3-1-1,1 Mar,2008,Benue,Oturkpo,,,,,,
NGA08-7-16-1,16 Jul,2008,Kaduna,Zaria,30,6,20.000,"150,269,623",0.0200,0.0040
NGA08-9-1-1,1 Sep,2008,,,,97,,"150,269,623",,0.0646
NGA08-9-1-1,1 Sep,2008,Katsina,,,,,,,
NGA08-9-1-1,1 Sep,2008,Zamfara,,,,,,,
NGA08-9-1-1,1 Sep,2008,Bauchi,,,,,,,
NGA08-9-1-1,1 Sep,2008,Kano,,,,,,,
NGA08-9-26-1,26 Sep,2008,Zamfara,Asako,100,18,18.000,"150,269,623",0.0665,0.0120
NGA08-9-26-1,26 Sep,2008,,Bungudu,,,,,,
NGA09-6-1-1,1 Jun,2009,Adamawa,,,20,,"154,324,933",,0.0130
NGA09-9-30-1,30 Sep,2009,Jigawa,,400,88,22.000,"154,324,933",0.2592,0.0570
NGA09-10-1-1,1 Oct,2009,Borno,Gwoza,24,4,16.667,"154,324,933",0.0156,0.0026
NGA09-10-16-1,16 Oct,2009,Borno,,1335,149,11.161,"154,324,933",0.8651,0.0965
NGA09-10-16-1,16 Oct,2009,Adamawa,,1000,77,7.700,"154,324,933",0.6480,0.0499
NGA09-10-16-1,16 Oct,2009,Jigawa,,400,11,2.750,"154,324,933",0.2592,0.0071
NGA09-10-16-1,16 Oct,2009,Taraba,,120,9,7.500,"154,324,933",0.0778,0.0058
NGA09-10-23-1,23 Oct,2009,Borno,,,70,,"154,324,933",,0.0454
NGA09-10-24-1,24 Oct,2009,Adamawa,Michika,,20,,"154,324,933",,0.0130
NGA09-11-4-1,4 Nov,2009,Adamawa,,200,20,10.000,"154,324,933",0.1296,0.0130
NGA09-11-20-1,20 Nov,2009,Borno,Taraba,,9,,"154,324,933",,0.0058
NGA10-1-1-1,1 Jan,2010,,,"44,456","1,734",3.900,"158,503,197",28.0474,1.0940
NGA10-1-1-1,1 Jan,2010,Adamawa,,"2,004",123,6.138,"158,503,197",1.2643,0.0776
NGA10-1-1-1,1 Jan,2010,Bauchi,,"4,660",151,3.240,"158,503,197",2.9400,0.0953
NGA10-1-1-1,1 Jan,2010,Borno,,"2,616",30,1.147,"158,503,197",1.6504,0.0189
NGA10-1-1-1,1 Jan,2010,Gombe,,"1,089",151,13.866,"158,503,197",0.6871,0.0953
NGA10-1-1-1,1 Jan,2010,Jigawa,,741,35,4.723,"158,503,197",0.4675,0.0221
NGA10-1-1-1,1 Jan,2010,Kaduna,,778,40,5.141,"158,503,197",0.4908,0.0252
NGA10-1-1-1,1 Jan,2010,Katsina,,"5,704",200,3.506,"158,503,197",3.5987,0.1262
NGA10-1-1-1,1 Jan,2010,Sokoto,,248,22,8.871,"158,503,197",0.1565,0.0139
NGA10-1-1-1,1 Jan,2010,Taraba,,536,37,6.903,"158,503,197",0.3382,0.0233
NGA10-1-1-1,1 Jan,2010,Yobe,,"2,735",136,4.973,"158,503,197",1.7255,0.0858
NGA10-1-4-1,4 Jan,2010,,,"29,115","1,191",4.091,"158,503,197",18.3687,0.7514
NGA10-5-1-1,1 May,2010,,,,,,,,
NGA10-5-1-1,1 May,2010,Bauchi,,73,,,"158,503,197",0.0461,
NGA10-5-1-1,1 May,2010,Gombe,,"1,998",113,5.656,"158,503,197",1.2605,0.0713
NGA10-5-1-1,1 May,2010,Gombe,Akko,266,14,5.263,"158,503,197",0.1678,0.0088
NGA10-5-1-1,1 May,2010,Gombe,Balanga,608,23,3.783,"158,503,197",0.3836,0.0145
NGA10-5-1-1,1 May,2010,Gombe,Billiri,11,2,18.182,"158,503,197",0.0069,0.0013
NGA10-5-1-1,1 May,2010,Gombe,Gombe,152,44,28.947,"158,503,197",0.0959,0.0278
NGA10-5-1-1,1 May,2010,Gombe,Kaltungo,84,7,8.333,"158,503,197",0.0530,0.0044
NGA10-5-1-1,1 May,2010,Gombe,Kwami,5,1,20.000,"158,503,197",0.0032,0.0006
NGA10-5-1-1,1 May,2010,Gombe,Nafada,8,1,12.500,"158,503,197",0.0050,0.0006
NGA10-5-1-1,1 May,2010,Gombe,Shongom,10,2,20.000,"158,503,197",0.0063,0.0013
NGA10-5-1-1,1 May,2010,Gombe,Yamaltu/Deba,254,19,7.480,"158,503,197",0.1602,0.0120
NGA10-5-24-1,24 May,2010,Federal Capital Territory ,Gwagwalada,118,6,5.085,"158,503,197",0.0744,0.0038
NGA10-6-18-1,18 Jun,2010,Rivers,,78,6,7.692,"158,503,197",0.0492,0.0038
NGA10-6-21-1,21 Jun,2010,Adamawa,,86,21,24.419,"158,503,197",0.0543,0.0132
NGA10-7-1-1,1 Jul,2010,Bauchi,,"3,300",,,"158,503,197",2.0820,
NGA10-7-1-1,1 Jul,2010,Borno,Maiduguri,300,7,2.333,"158,503,197",0.1893,0.0044
NGA10-7-1-1,1 Jul,2010,Zamfara,,"1,000",100,10.000,"158,503,197",0.6309,0.0631
